V01,V02,V03,V04,V05,V06,V07,V08,V09,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,class,target
8.82,3.50,10.88,41.70,10.17,nan,4.18,16.42,3.75,12.87,15.46,19.19,25.97,12.91,12.27,3.75,17.83,45.63,11.54,4.89,33.84,48.22,13.94,17.84,0.52,36.87,14.21,24.98,29.30,16.20,10.21,3.84,38.06,nan,8.47,7.68,1,0.3911
12.49,5.08,13.39,35.88,7.02,11.00,6.92,15.35,4.99,6.88,19.84,9.52,36.76,11.55,7.48,9.88,12.87,44.90,10.04,4.33,31.23,40.26,15.18,10.62,3.45,46.15,9.88,28.64,68.45,nan,16.62,4.61,nan,33.78,9.05,6.12,4,0.4179
14.07,3.99,10.87,27.80,9.82,10.60,4.10,nan,3.34,11.65,17.43,13.85,28.06,10.29,12.42,7.53,14.73,40.98,16.17,2.89,32.60,44.89,14.23,17.30,4.16,41.19,12.33,37.77,50.44,nan,16.84,3.16,39.22,29.64,10.30,11.22,4,0.4090
10.25,3.07,8.24,53.27,18.31,9.93,5.20,14.50,3.67,12.64,14.47,20.51,34.73,7.37,8.57,4.38,18.12,47.15,13.62,5.24,46.09,52.49,16.87,14.90,3.92,45.05,7.43,30.80,48.89,11.60,14.79,4.02,42.36,18.89,6.21,5.90,4,0.4329
9.29,4.96,nan,24.40,6.08,10.48,2.82,7.86,nan,4.57,20.55,12.62,27.45,13.55,13.75,8.78,15.64,41.87,8.59,5.44,23.88,40.70,16.95,19.22,3.50,19.43,13.20,32.40,57.08,10.75,14.83,2.02,31.65,37.01,9.13,6.82,0,0.3579
16.05,4.53,nan,29.45,12.61,7.69,4.46,11.20,nan,14.93,9.51,21.19,30.85,10.62,8.55,9.34,8.33,41.50,16.30,3.15,39.97,68.50,13.23,23.16,2.13,52.59,16.03,nan,32.03,12.34,12.70,nan,34.58,34.92,8.90,6.54,5,0.4301
7.46,3.95,7.58,28.98,16.29,10.13,1.76,9.69,4.17,6.35,24.02,11.80,28.81,14.38,9.35,9.98,10.29,nan,16.93,4.98,nan,44.80,18.00,24.93,0.87,30.41,10.08,22.93,60.51,12.28,15.26,2.07,40.57,34.65,6.82,13.00,2,0.4040
4.01,3.45,12.23,43.66,13.60,11.84,4.46,10.20,4.01,7.56,18.49,11.99,29.38,5.67,8.77,1.62,12.36,44.86,8.29,3.99,38.31,59.22,12.30,25.49,3.47,24.79,19.87,25.98,51.28,13.77,13.38,4.17,42.38,40.29,6.80,6.44,0,0.4036
11.71,4.53,15.71,34.70,9.16,12.07,1.54,18.94,3.71,8.96,13.59,19.78,47.30,11.34,13.67,nan,19.46,38.70,11.00,4.41,41.25,29.20,12.95,14.06,2.66,42.71,15.25,27.01,30.41,13.69,15.91,4.57,45.62,nan,8.59,12.55,3,0.4260
8.16,1.42,4.51,46.25,15.23,8.76,5.98,14.26,3.92,9.24,12.95,18.67,33.04,11.03,2.44,8.16,18.25,59.60,12.52,3.86,44.58,52.02,12.64,18.86,2.28,39.27,7.15,22.98,48.18,10.23,12.78,3.36,38.23,39.41,6.22,8.05,4,0.4229
11.96,4.14,12.10,19.06,10.22,4.68,5.24,11.77,4.49,15.46,21.86,7.94,14.01,13.33,12.81,8.67,3.42,40.24,14.52,4.47,16.95,61.77,13.48,15.43,4.48,54.22,16.04,38.95,55.50,15.84,16.14,2.75,nan,23.15,10.94,10.24,0,0.3962
17.18,4.09,20.36,19.19,10.86,11.41,2.08,9.95,3.45,14.23,13.12,20.25,23.31,11.32,15.45,5.33,9.20,28.64,13.01,5.37,36.01,78.60,9.82,20.07,1.86,45.28,13.76,33.37,31.40,nan,7.70,2.40,29.34,38.71,10.83,3.53,1,0.4029
13.16,5.14,14.83,46.87,5.34,6.03,4.87,18.87,3.07,7.84,9.76,8.07,39.98,18.75,7.22,6.10,6.75,39.79,15.05,2.04,42.53,47.91,18.25,12.28,2.65,50.53,10.63,25.28,56.23,22.04,19.27,4.07,nan,28.12,7.85,5.47,3,0.4436
9.63,3.60,7.80,41.38,8.73,6.05,5.71,13.87,2.80,11.08,14.20,17.52,27.25,9.40,8.62,7.74,18.00,52.99,12.48,5.11,31.18,48.64,11.03,17.74,4.23,38.20,7.59,33.63,47.92,nan,17.27,0.70,34.92,36.91,6.90,11.73,1,0.3988
10.51,4.79,21.15,53.36,18.45,11.20,4.98,16.48,1.83,16.70,4.10,21.11,34.48,11.30,19.14,0.00,24.16,25.43,22.50,3.09,73.55,44.47,14.40,8.54,2.10,52.60,8.90,54.86,25.79,12.16,25.96,3.17,72.68,5.12,5.84,8.04,1,0.4723
13.85,4.86,14.61,17.53,11.65,12.21,5.72,14.28,4.00,9.44,15.29,14.34,30.86,14.62,13.87,7.42,17.30,35.19,14.77,0.69,44.22,45.84,11.68,17.53,4.00,41.14,17.73,34.18,31.26,10.04,15.25,2.24,48.28,39.17,13.26,11.11,1,0.4197
8.19,5.55,9.16,55.09,nan,3.39,4.14,17.95,3.96,10.03,17.20,22.95,28.93,14.35,6.20,4.18,19.64,49.36,17.44,4.23,46.11,38.28,16.22,nan,2.28,44.59,9.28,nan,34.93,13.51,12.87,2.18,49.65,34.79,nan,8.72,2,0.4192
7.00,5.15,11.13,44.77,13.42,8.08,2.91,13.48,3.78,9.69,20.50,11.91,27.84,9.10,10.04,5.97,23.65,45.80,9.27,5.13,26.89,43.57,15.22,17.54,1.68,31.34,12.02,nan,47.83,14.27,12.63,3.96,38.32,38.92,10.03,8.79,0,0.3877
14.56,6.10,8.98,15.52,16.38,11.01,4.06,11.23,2.08,10.65,10.20,29.40,29.76,18.04,15.57,11.51,10.34,37.32,19.54,2.60,50.93,47.16,14.68,8.50,1.93,54.06,7.25,38.37,29.76,9.14,11.66,4.62,48.96,22.76,12.38,5.94,5,0.4295
14.50,2.80,11.77,25.43,8.20,10.00,3.56,14.62,2.60,11.69,15.29,12.37,32.82,8.69,9.99,11.42,12.15,40.24,8.93,4.26,16.40,69.08,14.84,18.12,4.27,38.86,6.79,29.52,51.89,5.33,12.13,1.82,22.74,33.54,9.31,10.34,0,0.3818
10.84,2.36,12.09,28.48,9.92,11.32,4.43,15.32,4.24,7.47,22.68,10.24,nan,15.20,9.79,4.76,9.54,54.31,11.74,3.72,40.15,38.24,11.84,11.58,2.88,47.99,12.51,41.68,65.80,nan,21.99,2.98,55.96,28.84,nan,9.60,4,0.4368
11.93,2.57,13.99,43.58,8.39,13.89,3.40,15.42,2.43,9.68,16.59,14.26,43.95,7.93,4.94,12.25,13.67,57.46,8.44,0.13,31.47,40.55,13.26,8.90,3.13,51.56,4.50,31.53,72.02,19.38,17.26,5.57,39.64,37.75,nan,5.40,4,0.4387
14.08,3.87,7.18,39.10,12.21,6.70,3.14,12.44,nan,8.94,14.01,13.57,30.22,10.31,6.74,nan,15.26,38.91,13.65,5.38,35.23,59.99,15.48,18.24,2.76,39.47,8.99,24.03,nan,11.91,11.85,3.69,33.04,31.06,6.39,7.42,4,0.3967
14.97,2.80,4.43,23.26,26.49,6.92,4.39,12.84,2.45,14.03,15.73,18.98,18.96,11.48,6.71,9.16,9.70,42.41,20.72,4.02,38.32,79.95,12.93,21.55,0.70,52.95,8.62,17.57,34.51,10.59,1.40,1.97,28.13,28.22,11.23,10.53,5,0.4163
9.98,2.05,10.94,29.17,12.51,13.88,3.74,14.26,3.13,9.93,20.73,16.92,32.17,12.90,8.72,10.16,17.89,58.36,12.74,6.21,30.88,43.06,13.30,20.47,2.09,35.85,7.20,24.44,47.54,13.82,11.45,3.65,31.16,46.40,10.67,9.85,4,0.4080
11.39,4.88,10.30,25.69,8.45,12.27,4.33,10.00,3.81,11.36,15.70,22.34,24.02,11.89,4.56,4.89,14.02,34.09,19.18,4.98,47.96,43.46,15.93,13.63,3.67,39.08,12.18,31.51,47.47,9.89,10.85,4.11,50.35,28.34,4.27,10.93,1,0.4048
5.44,3.48,12.96,27.80,10.88,13.64,2.77,12.06,nan,11.85,nan,9.38,25.81,3.13,14.14,5.33,6.98,38.98,13.45,4.54,18.14,nan,17.03,22.60,3.48,31.85,18.19,34.48,54.27,13.42,15.06,1.87,40.85,23.66,10.83,10.66,3,0.3887
14.80,1.72,12.63,27.62,nan,nan,nan,10.57,2.90,7.58,12.42,22.84,35.28,10.69,10.28,10.90,16.57,22.19,17.77,3.25,37.97,46.90,14.95,22.28,4.20,37.54,16.91,11.54,24.69,13.17,8.04,nan,42.13,48.68,8.48,13.81,5,0.4000
nan,6.87,5.43,49.00,10.39,7.60,1.76,13.59,3.83,6.47,14.70,12.49,33.99,7.31,8.12,6.34,19.27,36.46,14.75,4.00,29.97,50.23,20.34,22.64,6.06,22.80,8.72,16.78,52.03,13.38,11.25,2.11,33.66,29.70,5.08,9.17,3,0.3785
8.96,4.18,14.57,33.15,8.80,8.63,3.89,18.95,3.65,13.35,15.79,16.41,26.82,13.50,13.31,8.10,20.18,47.98,13.74,4.73,35.57,40.55,10.84,14.39,3.83,46.19,12.58,32.72,29.80,12.94,15.35,nan,42.83,nan,10.10,9.53,2,0.4075
13.34,5.38,14.50,37.51,nan,13.49,3.27,14.49,4.08,18.57,7.68,18.92,28.94,11.96,20.02,4.96,30.60,29.87,16.53,6.91,56.46,48.86,13.99,12.90,2.56,39.54,11.04,51.30,19.54,9.59,nan,4.03,36.87,16.64,6.46,5.70,1,0.4139
7.80,5.44,14.53,31.80,11.32,10.14,4.06,11.46,3.64,nan,21.25,13.78,nan,14.50,9.11,7.87,17.92,44.29,16.29,2.53,36.98,36.35,16.48,nan,2.59,42.07,15.48,29.92,45.43,12.44,18.17,nan,51.03,36.15,7.75,10.48,2,0.4169
17.97,4.35,8.69,42.51,10.21,6.06,5.52,15.24,3.93,16.96,9.05,27.55,38.75,9.27,11.03,5.13,8.13,48.91,9.88,1.87,33.45,67.72,11.39,25.26,3.26,45.19,13.90,29.62,26.39,17.43,12.24,3.04,21.27,38.65,5.58,12.58,5,0.4235
13.92,2.09,nan,27.94,13.70,nan,5.04,nan,2.46,10.46,14.18,21.67,27.03,7.36,6.36,5.76,9.13,28.16,15.83,3.29,48.44,55.59,12.83,10.57,1.36,47.53,13.69,36.37,55.49,nan,11.77,nan,48.25,22.81,nan,10.01,1,0.4175
12.17,5.26,7.88,35.78,10.94,9.05,2.88,12.30,3.26,8.69,15.09,19.64,35.20,6.37,9.52,11.04,16.22,35.36,16.29,2.18,37.03,44.37,15.77,19.95,2.66,39.21,13.35,24.07,43.74,10.75,13.25,4.00,35.23,32.99,nan,9.77,1,0.4014
8.18,2.83,15.12,25.76,4.41,16.69,4.65,15.12,3.79,8.65,1.76,4.39,47.39,18.23,10.36,6.43,11.50,37.94,5.56,4.85,39.46,48.64,nan,10.48,5.44,20.08,13.55,46.89,49.52,15.71,nan,4.54,60.44,nan,10.10,15.95,3,0.4182
9.05,3.93,16.30,21.72,9.16,8.11,3.73,13.34,4.16,12.24,20.95,12.10,22.06,18.90,14.16,10.38,18.82,46.44,16.55,3.90,28.87,32.88,13.12,19.81,2.75,42.65,16.88,nan,31.49,18.57,15.77,1.84,46.89,49.28,13.62,10.50,4,0.4046
12.40,4.58,7.66,45.09,13.48,4.49,3.36,14.56,3.68,nan,8.68,20.29,31.42,11.02,9.34,3.27,14.73,39.95,16.38,2.47,nan,66.65,20.11,27.87,3.61,38.07,15.95,nan,17.95,12.73,10.14,1.86,41.44,32.94,11.49,8.46,5,0.4117
13.91,4.41,15.87,28.97,5.97,13.59,3.68,7.60,nan,7.46,19.94,4.61,30.91,11.10,13.73,1.22,12.22,27.38,5.64,4.02,14.16,70.69,19.83,24.16,1.78,6.64,7.60,33.44,70.19,nan,nan,4.42,25.58,31.95,7.15,11.89,3,0.3508
9.82,3.78,9.25,36.19,10.59,9.84,3.74,13.42,4.68,nan,8.56,21.65,36.63,6.11,3.20,6.86,10.28,29.60,12.05,nan,49.46,52.44,10.86,8.12,nan,39.03,11.87,23.52,51.25,10.99,7.63,nan,52.51,34.22,4.69,10.85,1,0.4107
12.38,2.86,3.68,nan,19.51,16.56,3.82,13.71,5.59,1.81,4.23,27.77,53.41,18.83,15.87,12.60,10.65,42.71,14.88,4.03,67.31,35.37,14.39,12.62,4.13,33.11,nan,31.96,32.57,17.33,10.12,4.02,45.46,32.76,8.12,6.43,5,0.4478
10.60,5.05,12.79,26.01,4.41,15.29,3.37,21.85,3.73,11.35,16.06,17.38,36.04,12.53,12.88,9.71,21.78,49.23,16.17,3.04,nan,30.02,15.88,17.77,1.74,38.71,12.76,26.50,25.35,11.35,12.78,3.00,39.93,39.55,12.57,8.62,2,0.4025
